,tweet_id,retweet_count,likes
1275,684969860808454144,343,2267
1276,684959798585110529,2925,6447
1277,684940049151070208,974,3038
1278,684926975086034944,438,3322
1279,684914660081053696,1366,3324
1280,684902183876321280,492,1774
1281,684880619965411328,755,1985
1282,684830982659280897,20365,33220
1283,684800227459624960,939,2588
1284,684594889858887680,3284,8441
1285,684588130326986752,1324,3899
1286,684567543613382656,1137,2846
1287,684538444857667585,887,2506
1288,684481074559381504,1111,3684
1289,684460069371654144,524,1874
1290,684241637099323392,3064,7693
1291,684225744407494656,191,1181
1292,684222868335505415,1272,3628
1293,684200372118904832,980,2039
1294,684195085588783105,475,1811
1295,684188786104872960,1090,3320
1296,684177701129875456,618,1914
1297,684147889187209216,1420,2830
1298,684122891630342144,442,1902
1299,684097758874210310,1342,3904
1300,683857920510050305,1052,3621
1301,683852578183077888,325,1846
1302,683849932751646720,887,2471
1303,683834909291606017,1055,2494
1304,683828599284170753,998,2665
1305,683773439333797890,1260,3168
1306,683742671509258241,3113,6119
1307,683515932363329536,2706,6962
1308,683498322573824003,911,3010
1309,683481228088049664,938,2535
1310,683462770029932544,636,2298
1311,683449695444799489,1502,3669
1312,683391852557561860,2247,7250
1313,683357973142474752,856,2744
1314,683142553609318400,981,2722
1315,683111407806746624,849,3228
1316,683098815881154561,612,2062
1317,683078886620553216,533,1900
1318,683030066213818368,697,2042
1319,682962037429899265,15360,34736
1320,682808988178739200,158,1687
1321,682788441537560576,1048,2351
1322,682750546109968385,409,1438
1323,682697186228989953,342,1247
1324,682662431982772225,1017,2888
1325,682638830361513985,558,1960
1326,682429480204398592,1081,3258
1327,682406705142087680,1641,7171
1328,682393905736888321,620,2125
1329,682389078323662849,442,1587
1330,682303737705140231,914,2906
1331,682259524040966145,1115,3923
1332,682242692827447297,1076,3056
1333,682088079302213632,9199,17235
1334,682059653698686977,1575,4668
1335,682047327939461121,878,3033
1336,682032003584274432,1865,6221
1337,682003177596559360,1414,2947
1338,681981167097122816,957,2657
1339,681891461017812993,768,2337
1340,681694085539872773,3807,12147
1341,681679526984871937,414,1680
1342,681654059175129088,846,2481
1343,681610798867845120,435,1793
1344,681579835668455424,1213,3355
1345,681523177663676416,5374,13499
1346,681340665377193984,253,1559
1347,681339448655802368,3815,8808
1348,681320187870711809,690,2503
1349,681302363064414209,1695,3718
1350,681297372102656000,886,3047
1351,681281657291280384,1028,3057
1352,681261549936340994,247,1374
1353,681242418453299201,491,1407
1354,681231109724700672,457,2287
1355,681193455364796417,1384,3498
1356,680970795137544192,608,2280
1357,680959110691590145,1868,4348
1358,680940246314430465,972,3016
1359,680934982542561280,408,1976
1360,680913438424612864,579,2279
1361,680889648562991104,346,1665
1362,680836378243002368,1239,3272
1363,680805554198020098,625,2033
1364,680801747103793152,764,2249
1365,680798457301471234,965,2680
1366,680609293079592961,651,2486
1367,680583894916304897,1235,3418
1368,680497766108381184,1796,3991
1369,680494726643068929,452,1622
1370,680473011644985345,706,2406
1371,680440374763077632,466,1367
1372,680221482581123072,276,1411
1373,680206703334408192,1088,2682
1374,680191257256136705,467,2033
1375,680176173301628928,1445,3673
1376,680161097740095489,692,2207
1377,680145970311643136,1626,3425
1378,680130881361686529,881,2166
1379,680115823365742593,853,2570
1380,680100725817409536,1295,3401
1381,680085611152338944,8424,12104
1382,680070545539371008,803,2446
1383,679877062409191424,603,1866
1384,679872969355714560,620,2081
1385,679862121895714818,575,2324
1386,679854723806179328,1148,2693
1387,679844490799091713,707,2249
1388,679828447187857408,13048,34142
1389,679777920601223168,1025,2937
1390,679736210798047232,738,1975
1391,679729593985699840,779,2048
1392,679722016581222400,440,1578
1393,679530280114372609,1951,4507
1394,679527802031484928,677,2487
1395,679511351870550016,1175,3161
1396,679503373272485890,1368,2991
1397,679475951516934144,602,1976
1398,679462823135686656,17491,29679
1399,679405845277462528,1110,2235
1400,679158373988876288,7482,19980
1401,679148763231985668,963,2635
1402,679132435750195208,1075,2800
1403,679111216690831360,2407,5592
1404,679062614270468097,7456,15927
1405,679047485189439488,609,2117
1406,679001094530465792,1135,2683
1407,678991772295516161,1069,2138
1408,678969228704284672,423,1545
1409,678800283649069056,841,2415
1410,678798276842360832,1071,3236
1411,678774928607469569,843,2645
1412,678767140346941444,1267,3310
1413,678764513869611008,434,1529
1414,678755239630127104,3036,6668
1415,678740035362037760,1541,3510
1416,678708137298427904,2261,5277
1417,678675843183484930,1359,2679
1418,678643457146150913,372,1932
1419,678446151570427904,1423,3758
1420,678424312106393600,2361,5131
1421,678410210315247616,1669,3953
1422,678399652199309312,29479,75413
1423,678396796259975168,388,1496
1424,678389028614488064,391,1753
1425,678380236862578688,839,2293
1426,678341075375947776,497,1623
1427,678334497360859136,231,1218
1428,678278586130948096,5668,10729
1429,678255464182861824,341,1489
1430,678023323247357953,348,1789
1431,678021115718029313,5823,12735
1432,677961670166224897,1571,3217
1433,677918531514703872,379,1254
1434,677895101218201600,1907,4512
1435,677716515794329600,903,2861
1436,677700003327029250,1335,3193
1437,677698403548192770,296,1152
1438,677687604918272002,781,2335
1439,677673981332312066,1391,3130
1440,677662372920729601,880,1831
1441,677644091929329666,749,1750
1442,677573743309385728,636,1993
1443,677565715327688705,425,1223
1444,677557565589463040,1062,2285
1445,677547928504967168,3412,6491
1446,677530072887205888,211,995
1447,677335745548390400,1612,2844
1448,677334615166730240,259,1263
1449,677331501395156992,216,1016
1450,677328882937298944,1399,3427
1451,677314812125323265,486,1549
1452,677301033169788928,369,1148
1453,677269281705472000,655,1848
1454,677228873407442944,1511,3319
1455,677187300187611136,841,2553
1456,676975532580409345,986,2595
1457,676957860086095872,746,2088
1458,676949632774234114,367,1226
1459,676948236477857792,796,2013
1460,676946864479084545,337,1619
1461,676942428000112642,688,1934
1462,676936541936185344,4578,11924
1463,676916996760600576,1676,2776
1464,676897532954456065,669,2103
1465,676864501615042560,651,1955
1466,676821958043033607,14260,21332
1467,676819651066732545,612,1699
1468,676811746707918848,396,1346
1469,676776431406465024,1863,4664
1470,676617503762681856,882,2695
1471,676613908052996102,184,1018
1472,676606785097199616,399,1776
1473,676603393314578432,355,1082
1474,676593408224403456,1976,4249
1475,676590572941893632,115,860
1476,676588346097852417,723,2145
1477,676582956622721024,253,1108
1478,676575501977128964,1032,2400
1479,676533798876651520,512,1750
1480,676496375194980353,487,1421
1481,676470639084101634,4317,10858
1482,676440007570247681,611,1607
1483,676430933382295552,314,1299
1484,676263575653122048,499,1950
1485,676237365392908289,259,1123
1486,676219687039057920,28541,71382
1487,676215927814406144,530,1616
1488,676191832485810177,952,2114
1489,676146341966438401,612,1797
1490,676121918416756736,1072,2017
1491,676101918813499392,1079,2647
1492,676098748976615425,1295,2769
1493,676089483918516224,406,1221
1494,675898130735476737,522,1497
1495,675891555769696257,784,1975
1496,675888385639251968,871,2199
1497,675878199931371520,1290,3878
1498,675870721063669760,519,1513
1499,675853064436391936,1179,2504
1500,675849018447167488,129,884
1501,675845657354215424,802,2110
1502,675822767435051008,489,1415
1503,675820929667219457,220,977
1504,675798442703122432,3145,9558
1505,675781562965868544,428,1497
1506,675740360753160193,307,1092
1507,675710890956750848,750,1735
1508,675707330206547968,626,1833
1509,675706639471788032,87,600
1510,675534494439489536,376,1707
1511,675531475945709568,346,1100
1512,675522403582218240,257,961
1513,675517828909424640,425,1198
1514,675501075957489664,5375,15962
1515,675497103322386432,1183,2901
1516,675489971617296384,543,1191
1517,675483430902214656,886,1706
1518,675432746517426176,527,1399
1519,675372240448454658,475,1564
1520,675362609739206656,204,979
1521,675354435921575936,15304,30178
1522,675349384339542016,2070,3633
1523,675334060156301312,1177,2554
1524,675166823650848770,1429,3274
1525,675153376133427200,2335,5752
1526,675149409102012420,1552,3446
1527,675147105808306176,210,868
1528,675146535592706048,265,1089
1529,675145476954566656,816,1970
1530,675135153782571009,427,1202
1531,675113801096802304,711,1790
1532,675111688094527488,223,884
1533,675109292475830276,1030,2591
1534,675047298674663426,289,969
1535,675015141583413248,1080,2495
1536,675006312288268288,206,897
1537,675003128568291329,425,1432
1538,674999807681908736,999,2059
1539,674805413498527744,327,786
1540,674800520222154752,779,2771
1541,674793399141146624,989,2298
1542,674790488185167872,226,1017
1543,674788554665512960,188,740
1544,674781762103414784,1084,1845
1545,674774481756377088,428,1010
1546,674767892831932416,713,1672
1547,674764817387900928,208,722
1548,674754018082705410,398,1255
1549,674752233200820224,417,1344
1550,674743008475090944,492,1291
1551,674742531037511680,46,441
1552,674739953134403584,343,1000
1553,674737130913071104,81,595
1554,674690135443775488,429,1055
1555,674670581682434048,591,1492
1556,674664755118911488,218,839
1557,674646392044941312,440,1319
1558,674644256330530816,254,958
1559,674638615994089473,534,1550
1560,674632714662858753,520,1383
1561,674606911342424069,89,859
1562,674468880899788800,1844,5733
1563,674447403907457024,321,979
1564,674436901579923456,356,1026
1565,674422304705744896,487,1326
1566,674416750885273600,124,633
1567,674410619106390016,418,1104
